query_id,answer
70DfDUpwjxB4lzFd,fa01652ca5f57d0f d722bcda1a555091 6042fecdd7753112 94c5ec723ea5418f 603623b4bd9e8f6c b92ee8f432cec2d1 9515d1e1ecdac72c deb58d7ad8c27d06 a1df0525799ab4b5 bbfd9a8c71d3bd2b 255fbeaf526a1cc1 f4e8903d7689e222 6047e1566a959d3a 355392014208b7bf 14d535285758af89 d7ad9f91504e4d02 6fc4db453f873556 347f89be8087d8c7 e5a240b2eaca4e11 4332513c8fe7e1c9 4494aa11cbdc2d65 33f8d361a92bdcde 56157887d3ddab2a 4f96718256e225e4 fa4ba2c2cf71b0b1 cf0b70d14b674f8b 2d73dacac243ce62 fe18d6ee0f9c019c 585d85c2bbec8c0a 82ddaf2c54ef884a 6dfa83ed47d5bd10 d4ebb123b83921c3 acc6e16fea8628b0 d01e14d2ffd4ddba c04be97528001251 f78d7058e1d906eb f077edb575e5d7a5 500f27848ff77d33 fe7d3dc9d1481dde bee602308dd4d4b3 0a32e88bbfb35c29 4c5de54dcb9ddd51 3253f338b45470e5 99a2e8409516b616 9be196dd1a9bbb10 8f85e25fe8514a86 3b5ada3ffcacbbf3 19eb2b277468f2a9 1308d41ffd1cc3a6 73ba3172bc67d2dd
JTrdTaZJvSiLPkXj,422d3ffdd5bbf626 35a0a88ef8547de9 431efbc80d59155f 367af128a9ea2a48 f46f68aaa4d7de38 1c6d2079e07f4497 cbeccbecb1fb8d86 75be1179c1cf9418 14fbc6d1a2f9f588 dfa239d031b11832 47b2ed1012de011a 1344796085e92421 cacca72b31f50e71 a1d20685ee4a2b4c efde386fb8c4f385 0dc9665700018e7f 19165fefac3dce47 d4377e60e23e8c48 dbac15e2cc9c1802 ccb41dd11b4a4414 9283cff74607813b fb3d9c5c65bf762a b2e5a3e5f077379a 59f07c7f3eaf8425 a56f465bdbeefc3c 01fbbfc288257fca 16ea26ff0aa0450a ec2fe9db2bb6d8fb 7177e469ec03d344 805a719210cc179b 9259c214b4dc7871 7e6e2b471f0d5f45 5f02818a8e14b675 536b488415b4ce03 4ff7bc7b8dbf4b99 b7933f5a41764b6b 83ec056acd053c03 7e18adf210484046 655d75398668b643 c5110c8ce7bc03db 6eae23c69ab78941 4a435cc0a254c1fd e7a1a49f5d6590f2 74a82a4e724e0141 b4afd84ce0b9c272 52eb8ff3516475db fc6b9e3577fd7fef 5bebd1e2ae9eec19 41e99dc8b1e02f6e fb1efc098fa6657b
LZCZNoVG4AFUkVRJ,edecb3695ab88901 dab52187b4500d9b 3b370cc603f67947 d8fce513e4f000a7 d62074dd39caefee 168a9207e80b0be4 3f89b8062dc85f1c 10eb6d6da3230bbb c1abf382ab9a79dd 0b1c884e6c242ea7 53fc0e81b65d6289 c5d21c0e8c1cdb2d 005a523a0efbc62b 5c3ee000a94c97a4 d8b9d06b50158c04 35a357d7a0777087 965d4e5fe7062419 ffa57569baf9bf6e 974b459d83fc73c2 2bdc0973aa9e6ab6 f687490eb8b38367 6c311e61cde9bac2 9ee7038f8274d1a7 be827d807fb7e17c 65f998d38467560a 0a2a312988225650 a9840be7d8930cd1 ea5ae87445c6055a d8e11672a3a3b1db 9260a9c5f69edb85 3a33c8df4eb86a0f 3f155e092f6b52f3 08a5a810e06168af 7347ccc4bdcfde01 72ef0fb278f63f15 0916d1858b6583d5 3b55d761d507da7e 41dca66cc99af0c3 10897a4260a1ec19 58042f960aa5935d f0bc49667105c7d6 3ad11bbac9368352 03f34c231e732ba4 0cbbd32072f526d0 9e64bb9810d4bd3d a695cef33422f0cf d5c602adf962e1c8 0672c29f49f57fc3 7a731640393c1945 043e0940fb0683f5
660ac9QVtXkRxZC3,a846a2a5241e1180 e42795fcb72962a5 af91ec4a29b66636 bd2cb4500fad728e 3cce43c811459438 4c15e7abba063ac5 1e5924dc546b82c1 62be8c7f2a81aa9b c6348326b4a3b3a0 7d77c8f23d4954f8 4816fc8b40866f56 0ccc2d9667763ea3 08223c553a39282b b3d28e8a96b99502 47e796789fa62aea 7fb7c09a8f5f99c8 7f0e79d19cfd6afe 67b2cd847669eb36 57f0c8833f98c86b d6ae7f358da98382 6de45280d9fc7eab 85640a0918b61da4 2581691373a1b114 976b75fa962b2756 cd8db508b6a32f86 cd04c8934c09f1dd efd1cc78ffcb3b79 5ae5e8c99632496c 8925c1ae30327290 43b68a6ef1bc782c d61b894e607066da 1b4c4eb356931032 b1cf0726a906e3d8 1015320d8c099a6f 63184bac4cf97ff3 d0073446d9b5cc79 1638f8d5f70d6f04 278b83a3e3b3c8a0 afce77a9b9a666c0 08acc30bfa9b5fa7 5bd869d1b495940b d8ea5519085a5be6 3e7925ccea5aa7ce d190c306fcf8734d 71582992852fdf1b a9cca6f7f49c3ae8 1cf4290f3283ad67 d81b2e725afbab1d 48110148dbd9d8e5 6c4819038d39dea6
YgHcM9MVbxKnxD1e,ba78ad593ec3412d 615c73ea4c3bfd15 4ef5ba70fa9baaef 9c41fe789f98d702 13f58fe9542bdb1a 1a62634394544781 60e3b99111bd032b fb0bf6077c59c5a2 3bad0535f35b0096 53f9c8caeeb8111e 94cce9ac398a8f4a b8603925d28a8c99 33d983691b39da66 9502b74b2d61c50e 0c8a36e283d43f46 33539f478a2ca02a cba533b4d734504c 56e3295572157d74 5008e2463b0c0526 2c6da0b6c9272fe3 0f2830cc25924065 4b36a1b5d4cc60ed 03e08eb8f11a3a5d 735f402faf35bb9d 442b0ab445da8fa8 69313d4e1dce4f52 505dbf2261cec8b0 38f7cea86e2064f1 9d8fc4400778047d 3f1cf51f524b45cc 407e6f8c8891a01f e4dc4fd74ce1c4c6 90872ad5fea97a70 3522ccc98c60efd8 3869e9d8cef84740 c15a07821acfd1de 5367f23db91db9c9 3de2059c796b1690 4ac1b5362445d885 77897477ae28aade f81af88bc03dd71b 05f14b184548244a 4262c9e81e20967f d201edf373168f24 c29ab1c26477ab91 e09647d3c173314b bbcd30c154b9cd4a 32c9ed4f2cdc58fb c68f137c29d85050 08599550d5c047f8
Fn8uGfYsaUS86ak6,e3f278c4400772bd efd1cbb4bff99da8 c6ddc1fc25886253 1ebd6968953200ee b9982354b0f9b488 e4d73ff84d102409 67046e3c5492df3e 1a0fd0229092f93a 38d86757951c36dc f6248730c66364a5 6acdbf2dba17b143 03528664f8be42dd 44853116720cebf8 61857fa438e615aa d384b46b93bf53b4 12c906df661153f3 c0c959ccb7cc3d15 cc19dcdc0a74058b 01c152e3cfa3ca08 ee49d0f90bd0642b 2f2946d353283dce 5fd350394c4e65a1 8ff32856b99b223a 275d3c1139d393cf 6f7096b477f898df 1ff9c80277e5e5bf deb8430c13b40452 55b42f2a9d801f9f 43367d2eb1d7b2c8 5a3a241e8b4685ea 5608e1f8f203f7f0 2c01198e6a9e5dcf 1b57e78ed4d89c93 5d6fc47a7f0e1abe 470c9b814c5f01db 6a254eaa5e3cbcaf a3f003d075e3dd83 ae66c41ef6847433 98d326ba81fe3f24 04b3c9d52d80b499 90e1fd28280ace7e 8ed055fba8c69bea 9062ba7b1c9afd85 6f62d35257e7a261 df63f15b03fa2b62 8a017a8dfb66f997 282c376762a9bce8 6b860f38b8980d2d 1fbe566c17c1c988 009743fc07898f33
u4hftjenWqHZoMep,c9021873c1f2511b f7ed83d74c968bd4 0cfabc56b1cd4816 1a3daa8815cbd80e bfc4346cd7fe091f b0896578a785ce44 144d5e7f963f9a97 6159d0a9012f6b13 57dc728ccb851c30 7ad464454b711615 4ed8df21d84d4a06 83b88c758270dcfe 4ecfd12428c444fa 24370b8d2003ebfc 7ab3158075b21fb5 d0a1eeeb46bda2ef 52b552798a34129b 4e95d2667dcb5fb3 4638da6d64063c3a 01467ea140a31433 a6701cb128fe8ebb ea86b8342042331e 5a78fbbfa7ad0059 118e63c31106f1bf aa9e33f78a5074e4 c82beeab708dfec5 6fa8509fd6c62db0 f8b023e74e665a78 7bc00b089652c4fa 6f2185599cc623f9 e1ea0056989466b1 c13b880292455ad1 eecc194627e2aca1 90e17d85ce74fabd 7a208492860680bb 19ae86fc31b681a0 2f089fc7d63f44fc 1c59d466411c6134 9dc970f91feb0dbd 61868875bc962490 84f9776aace3a753 105a3a9285c33611 ee752d45a9373027 1f845796f54adb5f 0cbcf487080afe85 45802b3117b87699 b8682c938874a5f6 9420f0e52144dba5 4d9c460613abee81 0d504c98f156bcd5
2Ysms04CH0JxFR7M,1a4ad9abea6976bf 376b59a44a9b7fde d7383729fe99b54f 4eab8b78558b6cb7 d88cf31055f8f2f9 4ab5d95e3dbd0660 9e6898aa5a012ad4 ba854086d29b49b8 2021792912211cc8 f4bc1d7e5f5c5d38 cd8a55e63e6ab416 d39a335d58289043 27514aceb5aeb5b4 48fb9b26f3ab9085 ff14cbd8d906719a c57e284d60a66f9b 0749b0eac68ddfa2 866937840b197999 4e2cb3c6fe0f1376 831141431ca6022b e3598048a2754fcd 1d3eb18e863c9dbf d765d8511e57bd2d fa0facc1035123dc d1254ee38f8a30e6 a1ce355c874ba851 7cd161f77b76b004 c367d367efd7e4bf e3f2e9efeb9d1b5a e27b8a70862f28a9 2ec74c681dda0a47 fd1001273e2f6a7b 25cf533bd28c6f34 506ac05aea4d3cfa 834e5faeb0e58e34 9b746cef1e3ebe28 153eaad2ec3a9b0d 9972a497c9dcd441 494bf444b22ace80 70d2b0a55385d928 df69fd4f86c59215 bfd2fa35e7a1660f d806103a9dc8a3cb 302ffab4d78f8d66 d2e365d50fdcae55 1352e23d2c8a7e7a 1beccd8a864dc45d d6161215ffaba51b 5e519cab22a1ad13 d08a084f6ae0c411
C87NmbDEECz55BdJ,272fb9d939705fa2 47d69ab911f7e876 772bdac5eb711ff6 ae71662e1cd76c33 a2fe5220900a341a d93f9fd25c34020e 8d368cec78617ab7 58c8bb4cda560a90 d53ed1b5ee04124b a317a15b20ded8b5 933c563c0b97b294 503fa42b3135b07a 86de71c66dd2773e 9f69c8903ff81799 60da3b17af6c67c6 e0acc377e1ef7f33 0489ab346368fb43 639d85039afd302d 94c4ccd762aae19f 42b32e2a4f2e1a0a 17d852af377fc179 312eb6d5e3c97fe5 04ab640f13b35ef0 7c1fd27bf3023a09 67cef9ea8ab87aae d05475ef80a2f145 985dc437fea08791 82f29a8a92af3990 c110cd29cc7b359f 104da90f582eb10b c6a24f37db443445 2ab56073933b9304 102b9907088f7929 8e27e0145ab2d9ee 3482673a7d6aceca c143762ac93699b4 24f65a1ed155d3f6 7d3079ea89ea3327 325cb0e9cc186e77 e1a7035d23b8bf1f da78f72b2c2de7d8 2fda907fd6c2e822 863e540c867ebdbd d5481806b6e8dfde 1d69247a2365bcd9 6b037b66d3e4ee64 c5672ab72976d659 a58ff0d22079679f 1533be0e7606efcb c91e07de79c2df3a
bTF8nFanljgh7MYg,12f8eb8fc5bcf830 95d6e5ef0d0d0024 8673e52d7a10e87d 253ace5bbc6a5281 a2e5965b7fb44ba0 e1a509061db4365e 33de3813f4dac961 bc6fe8709b827527 4090ff953b65bbc8 99474be1eba3643c d7417a1af0d46e1a 4101c6d96048d5d3 1ef0d3d4bf13d4e5 1c05598676c5713b 54cd8b14887bef82 ff0fa20dc2ab50f5 b8f901c027245b00 2e07853eb7febd93 cb7b15234927bb0b dddc156c5edd789d bf5df5b6664df87b f0163dabccdb33e8 3e8418df0cd81ec7 b92bb5f2e54134c0 54a253cf01bdf010 1f9673dcc275ea7d 819fe7647608dfd8 3851485adc7d53b7 6f9ecabf50905914 3b5b126d73d809dc 627ca4f7dc9fe638 adb24f7adbef70ff 88c1ca26292dbdff 9f9ed36cf98f7cae 495994dc327cbdd5 070b67d8d87a7d16 eae17adc93855584 c368b74637498b2c 512a5effd89947bb 56ea68826d2afffe 7e956132fdb6055d d6d1605f7dd4c950 45751ba9f5ef2a7b d7b1fa75da56635e 229b8fbab27964dd 24f232fbdec5abd3 4382906f52eed217 0d55d6fab9647fee 2810abdbb2c052ae 90b5c89f9ab685b7
